yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1987,AL,ML4,MIL,E,3,162,81.0,91,71,N,,N,N,862,5625,1552,272,46,163,598,1040.0,176.0,74.0,,,817,752,4.62,28,6,45,4392,1548,169,529,1039,145,155.0,0.97,Milwaukee Brewers,County Stadium,1909244.0,103,103,MIL,MIL,MIL,7293224
1987,AL,NYA,NYY,E,4,162,81.0,89,73,N,,N,N,788,5511,1445,239,16,196,604,949.0,105.0,43.0,,,758,701,4.36,19,10,47,4338,1475,179,542,900,102,155.0,0.98,New York Yankees,Yankee Stadium II,2427672.0,99,99,NYY,NYA,NYA,17099714
1987,AL,BOS,BOS,E,5,162,80.0,78,84,N,,N,N,842,5586,1554,273,26,174,606,825.0,77.0,45.0,,,825,761,4.77,47,13,16,4308,1584,190,517,1034,110,158.0,0.98,Boston Red Sox,Fenway Park II,2231551.0,103,102,BOS,BOS,BOS,10144167
1987,AL,BAL,BAL,E,6,162,82.0,67,95,N,,N,N,729,5576,1437,219,20,211,524,939.0,69.0,45.0,,,880,801,5.01,17,6,30,4317,1555,226,547,870,109,174.0,0.98,Baltimore Orioles,Memorial Stadium,1835692.0,97,98,BAL,BAL,BAL,13900273
1987,AL,CLE,CLE,E,7,162,81.0,61,101,N,,N,N,742,5606,1476,267,30,187,489,977.0,140.0,54.0,,,957,834,5.28,24,8,25,4266,1566,219,606,849,152,128.0,0.97,Cleveland Indians,Cleveland Stadium,1077898.0,100,101,CLE,CLE,CLE,8513750
1987,AL,MIN,MIN,W,1,162,81.0,85,77,Y,,Y,Y,786,5441,1422,258,35,196,523,898.0,113.0,65.0,,,806,734,4.63,16,4,39,4281,1465,210,564,990,98,147.0,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,2081976.0,103,103,MIN,MIN,MIN,6397500
1987,AL,KCA,KCR,W,2,162,81.0,83,79,N,,N,N,715,5499,1443,239,40,168,523,1034.0,125.0,43.0,,,691,611,3.86,44,11,26,4272,1424,128,548,923,131,151.0,0.97,Kansas City Royals,Royals Stadium,2392471.0,102,102,KCR,KCA,KCA,11828056
1987,AL,OAK,OAK,W,3,162,81.0,81,81,N,,N,N,806,5511,1432,263,33,199,593,1056.0,140.0,63.0,,,789,694,4.32,18,6,40,4335,1442,176,531,1042,142,122.0,0.97,Oakland Athletics,Oakland Coliseum,1678921.0,93,93,OAK,OAK,OAK,11680839
1987,AL,SEA,SEA,W,4,162,81.0,78,84,N,,N,N,760,5508,1499,282,48,161,500,863.0,174.0,73.0,,,801,713,4.49,39,10,33,4290,1503,199,497,919,121,150.0,0.98,Seattle Mariners,Kingdome,1134255.0,105,106,SEA,SEA,SEA,2263500
1987,AL,CHA,CHW,W,5,162,81.0,77,85,N,,N,N,748,5538,1427,283,36,173,487,971.0,138.0,52.0,,,746,691,4.3,29,12,37,4341,1436,189,537,792,115,174.0,0.98,Chicago White Sox,Comiskey Park,1208060.0,103,103,CHW,CHA,CHA,10641843
1987,AL,CAL,ANA,W,6,162,81.0,75,87,N,,N,N,770,5570,1406,257,26,172,590,926.0,125.0,44.0,,,803,709,4.38,20,7,36,4371,1481,212,504,941,117,162.0,0.98,California Angels,Anaheim Stadium,2696299.0,97,97,CAL,CAL,CAL,12843499
1987,AL,TEX,TEX,W,6,162,81.0,75,87,N,,N,N,823,5564,1478,264,35,194,567,1081.0,120.0,71.0,,,849,743,4.63,20,3,27,4332,1388,199,760,1103,148,148.0,0.97,Texas Rangers,Arlington Stadium,1763053.0,100,101,TEX,TEX,TEX,880000
